MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21408527,1165000,85718,-110.942.544,32.348.593,01.06,13129.23,2005,3,3,4385,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",153
21408959,1010000,85750,-11.086.124,32.332.306,2,13071.96,1990,4,6,7002,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Natural Stone",421
21325705,1100000,85718,-110.912.045,3.229.347,1.39,12240.46,1997,4,4,5571,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Concrete, Mexican Tile",194
21428647,1250000,85750,-110.826.959,32.320.396,1.95,10135.26,2001,4,4,5063,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile, Natural Stone",30
21032042,1200000,85641,-110.589.637,32.134.424,40.41,7310,1985,3,4,5957,0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Concrete, Mexican Tile",121
21324400,1225000,85750,-110.843.617,32.302.272,0.92,8840.88,2007,4,5,4470,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,Natural Stone,40
21515252,1100000,85737,-110.991.913,32.400.682,2.24,12050.74,1997,4,6,6327,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone",51
21329440,1125000,85718,-110.883.547,32.329.763,1.33,8654,1986,4,5,5023,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",179
21302927,1165000,85718,-1.109.385,32.348.433,1.21,15200.03,2002,4,6,5327,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Mexican Tile",166
21500337,1100000,85750,-110.866.891,32.321.968,1.17,6565.93,1994,4,4,3870,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",58
21507489,1275000,85718,-110.933.898,32.349.731,4,9157,1995,4,4,4398,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",100
21429571,1295000,85715,-110.851.873,32.254.056,0.73,10948.2,1994,5,7,5655,5,"Garbage Disposal, Refrigerator, Microwave, Oven",4,"Natural Stone, Wood, Other",79
21519131,1320000,85750,-11.085.357,32.324.748,0.48,8488.24,2008,4,5,3461,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Other",102
21526941,1400000,85716,-110.924.423,32.220.585,1.27,11444,1929,5,5,4927,0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Oven",4,"Ceramic Tile, Mexican Tile, Wood",0
21531010,1395000,85658,-1.111.006,32.469.025,0.3,2073.96,2015,2,3,2934,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave",1,"Carpet, Natural Stone",550
21601656,1200000,85750,-11.083.098,32.283.092,1.18,9556.54,2004,4,4,4762,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,Natural Stone,175
21611086,1260000,85737,-110.946.336,32.390.448,02.07,11732.61,2006,4,5,4200,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",97
21623464,1250000,85718,-110.926.074,3.231.454,1.5,8915.11,2003,4,6,4608,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Ceramic Tile",195
21622236,1150000,85718,-110.885.836,32.300.503,2.3,12291.11,2006,5,6,5316,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,Natural Stone,0
21201449,1200000,85750,-110.827.675,32.320.051,0.9,9555,2004,5,5,4674,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Concrete,25
21206450,1180000,85750,-110.868.487,32.316.324,1.3,9590.16,1993,4,3,5029,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile",40
21224755,1175500,85718,-11.094.065,32.347.873,1.23,11674,2004,4,5,4143,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",159
